date,BASERATE
20181130,1.75
20171130,1.5
20160609,1.25
20150611,1.5
20150312,1.75
20141015,2.0
20140814,2.25
20130509,2.5
20121011,2.75
20120712,3.0
20110610,3.25
20110310,3.0
20110113,2.75
20101116,2.5
20100709,2.25
20090212,2.0
20090109,2.5
20081211,3.0
20081107,4.0
20081027,4.25
20081009,5.0
20080807,5.25
20070809,5.0
20070712,4.75
20060810,4.5
20060608,4.25
20060209,4.0
20051208,3.75
20051011,3.5
20041111,3.25
